"filename", "language", "TypeScript", "JSON with Comments", "Less", "SCSS", "JSON", "vue", "HTML", "Markdown", "Python", "XML", "SQL", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\Sort.vue", "vue", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 2, 66
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\FilterBar\SubmitBar.vue", "vue", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 3, 68
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\HouseService\AdditionalOrder.vue", "vue", 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 28, 240
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\HouseService\HousingService.vue", "vue", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 4, 129
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\HouseService\OrderServiceDetail.vue", "vue", 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 32, 233
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\HouseService\orderService.vue", "vue", 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 14, 235
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\House\HouseBillDetail.vue", "vue", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\House\HouseCollection.vue", "vue", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 4, 71
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\House\HouseHistory.vue", "vue", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 5, 60
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\House\HousePost.vue", "vue", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 5, 140
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\Appointment.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\AppointmentDetail.vue", "vue", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\AppointmentPage.vue", "vue", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\Community.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\Home.vue", "vue", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 5, 78
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\NavigationBar.vue", "vue", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 5, 65
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\OrderDetail.vue", "vue", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\OwnerHome.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\UserInfo.vue", "vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Navigation\service.vue", "vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\Tabbar.vue", "vue", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\case\Case.vue", "vue", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 54
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\IconBtn.vue", "vue", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\Input.vue", "vue", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 7, 99
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\NoMore.vue", "vue", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 4, 47
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\Notis.vue", "vue", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 8, 91
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\SafeBottom.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\StatusBar.vue", "vue", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\SwiperList.vue", "vue", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 7, 172
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\Tag.vue", "vue", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\public\Tags.vue", "vue", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\user\Friend.vue", "vue", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 4, 132
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\user\UserComment.vue", "vue", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 4, 2, 89
"d:\vscode\test\Apartment-Recommend-System\frontend\src\components\user\UserPost.vue", "vue", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 12, 152
"d:\vscode\test\Apartment-Recommend-System\frontend\src\constant\chat.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 32
"d:\vscode\test\Apartment-Recommend-System\frontend\src\constant\publish.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 46
"d:\vscode\test\Apartment-Recommend-System\frontend\src\data\cases.json", "JSON", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 82
"d:\vscode\test\Apartment-Recommend-System\frontend\src\data\house.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 47
