"filename", "language", "TypeScript", "Less", "SCSS", "JSON", "vue", "comment", "blank", "total"
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\Rent\Rent.vue", "vue", 0, 0, 0, 0, -367, 0, -15, -382
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\Search.vue", "vue", 0, 0, 0, 0, -147, 0, -12, -159
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\SimilarRoom.vue", "vue", 0, 0, 0, 0, -46, 0, -6, -52
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\Switch.vue", "vue", 0, 0, 0, 0, -67, 0, -3, -70
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\Tenantpages\Home.vue", "vue", 0, 0, 0, 0, -342, 0, -41, -383
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\Tenantpages\UserInfo.vue", "vue", 0, 0, 0, 0, -230, 0, -17, -247
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\booking\HouseBooking.vue", "vue", 0, 0, 0, 0, -314, 0, -7, -321
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\booking\ServiceBooking.vue", "vue", 0, 0, 0, 0, -301, 0, -15, -316
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\houseOrder\Order.vue", "vue", 0, 0, 0, 0, -105, 0, -3, -108
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\houseOrder\OrderDetail.vue", "vue", 0, 0, 0, 0, -285, 0, -33, -318
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\index\index.vue", "vue", 0, 0, 0, 0, -36, 0, -5, -41
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\login.vue", "vue", 0, 0, 0, 0, -67, 0, -4, -71
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\map\community.vue", "vue", 0, 0, 0, 0, -82, 0, -2, -84
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\ownerpages\Home.vue", "vue", 0, 0, 0, 0, -111, 0, -8, -119
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\ownerpages\orderDetail.vue", "vue", 0, 0, 0, 0, -256, -1, -8, -265
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\ownerpages\orderPage.vue", "vue", 0, 0, 0, 0, -74, 0, -2, -76
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\ownerpages\orderPageItem.vue", "vue", 0, 0, 0, 0, -114, 0, -7, -121
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\ownerpages\userInfo.vue", "vue", 0, 0, 0, 0, -199, 0, -17, -216
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\serviceDetail\serviceComment.vue", "vue", 0, 0, 0, 0, -139, 0, -5, -144
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\serviceDetail\serviceDetail.vue", "vue", 0, 0, 0, 0, -402, 0, -22, -424
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\serviceOrder\Order.vue", "vue", 0, 0, 0, 0, -93, 0, -1, -94
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\serviceOrder\OrderDetail.vue", "vue", 0, 0, 0, 0, -265, 0, -30, -295
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\tabbar\Appointment.vue", "vue", 0, 0, 0, 0, -207, 0, -15, -222
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\tabbar\Community.vue", "vue", 0, 0, 0, 0, -375, -4, -17, -396
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\tabbar\HomeContainer.vue", "vue", 0, 0, 0, 0, -66, 0, -6, -72
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\tabbar\Service.vue", "vue", 0, 0, 0, 0, -224, -11, -14, -249
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\tabbar\UserInfoContainer.vue", "vue", 0, 0, 0, 0, -27, 0, -5, -32
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\pages\user\UserInfo.vue", "vue", 0, 0, 0, 0, -190, 0, -16, -206
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\ClientService.ts", "TypeScript", -60, 0, 0, 0, 0, -1, -11, -72
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\LeaseService.ts", "TypeScript", -24, 0, 0, 0, 0, 0, -5, -29
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\PostService.ts", "TypeScript", -70, 0, 0, 0, 0, -2, -10, -82
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\RentInfoService.ts", "TypeScript", -35, 0, 0, 0, 0, 0, -9, -44
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\RoomBookingService.ts", "TypeScript", -28, 0, 0, 0, 0, 0, -5, -33
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\RoomService.ts", "TypeScript", -101, 0, 0, 0, 0, -7, -17, -125
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\UserSerivce.ts", "TypeScript", -65, 0, 0, 0, 0, -1, -10, -76
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\service\index.ts", "TypeScript", -19, 0, 0, 0, 0, 0, -1, -20
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\shime-uni.d.ts", "TypeScript", -5, 0, 0, 0, 0, 0, -1, -6
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\store\Chat.ts", "TypeScript", -37, 0, 0, 0, 0, 0, -8, -45
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\store\Filter.ts", "TypeScript", -44, 0, 0, 0, 0, 0, -6, -50
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\store\HouseAppointment.ts", "TypeScript", -67, 0, 0, 0, 0, -6, -6, -79
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\store\Notification.ts", "TypeScript", -35, 0, 0, 0, 0, 0, -10, -45
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\store\Tabbar.ts", "TypeScript", -13, 0, 0, 0, 0, 0, -3, -16
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\store\user.ts", "TypeScript", -21, 0, 0, 0, 0, -7, -9, -37
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\tabbar.ts", "TypeScript", -47, 0, 0, 0, 0, 0, -5, -52
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\Case.ts", "TypeScript", -11, 0, 0, 0, 0, 0, -1, -12
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\Entity\DataList.ts", "TypeScript", -7, 0, 0, 0, 0, 0, -1, -8
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\Entity\UserPost.ts", "TypeScript", -6, 0, 0, 0, 0, 0, 0, -6
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\Icon.ts", "TypeScript", -18, 0, 0, 0, 0, 0, -2, -20
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\Notification.ts", "TypeScript", -36, 0, 0, 0, 0, -3, -5, -44
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\PublicCompType.ts", "TypeScript", -5, 0, 0, 0, 0, 0, -3, -8
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\chat.ts", "TypeScript", -23, 0, 0, 0, 0, -3, -4, -30
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\serviceEntity\Room.ts", "TypeScript", -129, 0, 0, 0, 0, -1, -6, -136
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\serviceEntity\Service.ts", "TypeScript", -79, 0, 0, 0, 0, -1, -7, -87
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\serviceEntity\lease.ts", "TypeScript", -14, 0, 0, 0, 0, 0, -1, -15
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\serviceEntity\post.ts", "TypeScript", -46, 0, 0, 0, 0, 0, -5, -51
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\types\serviceEntity\user.ts", "TypeScript", -24, 0, 0, 0, 0, 0, -4, -28
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\uni.scss", "SCSS", 0, 0, -38, 0, 0, -25, -13, -76
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\Date.ts", "TypeScript", -24, 0, 0, 0, 0, -10, -7, -41
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\Equipment.ts", "TypeScript", -42, 0, 0, 0, 0, -1, -10, -53
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\Measure.ts", "TypeScript", -13, 0, 0, 0, 0, 0, -3, -16
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\Notification.ts", "TypeScript", -36, 0, 0, 0, 0, 0, -10, -46
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\Num.ts", "TypeScript", -6, 0, 0, 0, 0, 0, -2, -8
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\RecommendRecordHandler.ts", "TypeScript", -106, 0, 0, 0, 0, -9, -11, -126
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\array.ts", "TypeScript", -13, 0, 0, 0, 0, -1, -9, -23
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\chat.ts", "TypeScript", -54, 0, 0, 0, 0, -1, -15, -70
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\file.ts", "TypeScript", -14, 0, 0, 0, 0, 0, -1, -15
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\localStorage.ts", "TypeScript", -94, 0, 0, 0, 0, -59, -24, -177
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\location.ts", "TypeScript", -148, 0, 0, 0, 0, -13, -12, -173
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\room.ts", "TypeScript", -5, 0, 0, 0, 0, 0, -1, -6
"d:\vscode\graDes\Housing-Recommend-system\frontend\src\utils\uuid.ts", "TypeScript", -11, 0, 0, 0, 0, 0, 0, -11
