"filename", "language", "Java", "XML", "YAML", "Batch", "Properties", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "CSS", "JSON", "vue", "TypeScript React", "SCSS", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\dashboard.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\fullscreen-exit.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\fullscreen.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\link.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\lock.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\menu.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\unocss.svg", "XML", 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\AppMain.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, -7, -50
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Breadcrumb\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -64, 0, 0, 0, -11, -75
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Hamburger\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, -6, -34
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\NavigationBar\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -113, 0, 0, 0, -6, -119
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\RightPanel\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, 0, -5, -45
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Settings\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -63, 0, 0, 0, -4, -67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\SidebarItem.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -117, 0, 0, 0, -10, -127
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\SidebarItemLink.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -3, -20
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\SidebarLogo.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, -4, -53
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -123, 0, 0, 0, -14, -137
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\TagsView\ScrollPane.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -146, 0, 0, 0, -15, -161
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\TagsView\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -248, 0, 0, 0, -21, -269
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\hooks\useResize.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, -2, -9, -52
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -145, 0, 0, 0, -18, -163
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -6, -4, -30
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\element-plus-icon\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -1, -2, -10
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\element-plus\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -2, -8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\vxe-table\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -15, -4, -67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -236, 0, 0, 0, 0, 0, 0, 0, -10, -7, -253
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\router\permission.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, -13, -4, -72
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\ClientOrderService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, -7, -37
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\ClientService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, -6, -36
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\LeaseService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -5, -25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\PostService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -6, -23
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\RentInfoService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, -15, -76
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\RoomBookingService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, -10, -61
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\RoomService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -45, 0, 0, 0, 0, 0, 0, 0, 0, -7, -52
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\UserSerivce.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, -8, -45
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, -1, -22
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\app.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, -6, -42
